ID linije,Lista stanica
18B,"[(45.2489713023, 19.7915144259), (45.2487632498, 19.7921260989), (45.2470681807, 19.793176626), (45.2440339225, 19.795029964), (45.2417500565, 19.7996161438), (45.2413580417, 19.8036125161), (45.2409610249, 19.8076663846), (45.240548, 19.81195), (45.240038, 19.816809), (45.2399480828, 19.8258641034), (45.241465683, 19.8317379566), (45.2426706144, 19.8371533191), (45.2440216217, 19.8424535024), (45.2481301777, 19.8492059684), (45.2528535063, 19.8475593745), (45.253519, 19.844141), (45.255083741, 19.8416138869), (45.2525198464, 19.8368000824), (45.255629856, 19.8351029309), (45.2605767651, 19.8314132035), (45.2595168963, 19.8263471168), (45.260450059, 19.8213763649), (45.2633439588, 19.8182127414), (45.2634661042, 19.8156966528), (45.2616253594, 19.8122424682), (45.260028, 19.807755), (45.2569890699, 19.8015188427), (45.2529483166, 19.8031021067), (45.2513539058, 19.7983752275), (45.2500788277, 19.7947978105), (45.248251, 19.786933)]"
19A,"[(45.263325649, 19.8304838937), (45.2601777537, 19.8322222835), (45.2545506888, 19.8353175469), (45.2514514442, 19.8370753816), (45.2475207776, 19.8392619075), (45.2434304122, 19.8414842753), (45.241081551, 19.8428482132), (45.226923, 19.871637)]"
19B,"[(45.226923, 19.871637), (45.2444754031, 19.8412524923), (45.2485327883, 19.8390130044), (45.2525198464, 19.8368000824), (45.2613766166, 19.8318492939), (45.2650202834, 19.830132455)]"
20A,"[(45.2652079855, 19.8300468015), (45.2665045391, 19.834665763), (45.2710086836, 19.8419173482), (45.2733137159, 19.8410463411), (45.2809013055, 19.8361991299), (45.2910920332, 19.8307752397), (45.2941004442, 19.8307538038), (45.3002863203, 19.8305569794), (45.30560902592864, 19.841690185890798)]"
20B,"[(45.30560902592864, 19.841690185890798), (45.3023192227, 19.8302754549), (45.2993083361, 19.8304360891), (45.2933241684, 19.8304941804), (45.2906889242, 19.8305011638), (45.2880777199, 19.8317289762), (45.2828756397, 19.8346922664), (45.2802317297, 19.8363835969), (45.2725760616, 19.8411205686), (45.270261, 19.841061), (45.2687779267, 19.8317437287), (45.26467, 19.830784)]"
21A,"[(45.264414954, 19.831181344), (45.2656954001, 19.8354809218), (45.2623699914, 19.8401023551), (45.2610079188, 19.8431916148), (45.264154136, 19.8438347072), (45.2669400366, 19.8433774932), (45.270255, 19.842795), (45.2801714789, 19.8541396629), (45.2800159943, 19.8739061759), (45.2753695785, 19.8744280768), (45.2728481382, 19.8746858691), (45.2716456299, 19.8734833608)]"
21B,"[(45.2716456299, 19.8734833608), (45.2727640906, 19.8746020003), (45.2759625849, 19.8750018148), (45.2801291859, 19.8725659095), (45.280162797, 19.8687013766), (45.2802328142, 19.8594856773), (45.2802887336, 19.8545442322), (45.2696690854, 19.8421271396), (45.2673052212, 19.8430703993), (45.2621466908, 19.8435652321), (45.2608711975, 19.8423966225), (45.2632551971, 19.8390209306), (45.2652106325, 19.8364405487), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
25A,"[(45.264414954, 19.831181344), (45.2665045391, 19.834665763), (45.270255, 19.842795), (45.2801714789, 19.8541396629), (45.2801022232, 19.860216648), (45.2800445045, 19.8698335025), (45.2800159943, 19.8739061759), (45.28094, 19.883784), (45.28835, 19.876262), (45.290313, 19.87358), (45.289071, 19.871145)]"
25B,"[(45.289071, 19.871145), (45.289864, 19.874696), (45.288166, 19.876241), (45.281076, 19.883822), (45.2801291859, 19.8725659095), (45.280162797, 19.8687013766), (45.2802328142, 19.8594856773), (45.2802887336, 19.8545442322), (45.270261, 19.841061), (45.2687779267, 19.8317437287), (45.26467, 19.830784)]"
68A,"[(45.2647056244, 19.8294363876), (45.2601777537, 19.8322222835), (45.2545506888, 19.8353175469), (45.2514514442, 19.8370753816), (45.2475207776, 19.8392619075), (45.2434304122, 19.8414842753), (45.241081551, 19.8428482132), (45.22717493, 19.8567651282), (45.2238312414, 19.8554431781), (45.2184505022, 19.8550708728), (45.2214886206, 19.8480204015), (45.2234788568, 19.8425048162), (45.2238692543, 19.8366526852), (45.219476631, 19.8369754016)]"
68B,"[(45.219476631, 19.8369754016), (45.2236649855, 19.8366471105), (45.2231734727, 19.8429845913), (45.2215936729, 19.8485735281), (45.2184505022, 19.8550708728), (45.2234187828, 19.855319878), (45.2292476482, 19.8592274923), (45.2421433047, 19.8425582061), (45.2444754031, 19.8412524923), (45.2485327883, 19.8390130044), (45.2525198464, 19.8368000824), (45.255629856, 19.8351029309), (45.2613766166, 19.8318492939), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
69A,"[(45.2647056244, 19.8294363876), (45.2601777537, 19.8322222835), (45.2545506888, 19.8353175469), (45.2514514442, 19.8370753816), (45.2480202534, 19.839720893), (45.2488624702, 19.8431913572), (45.2528535063, 19.8475593745), (45.2542765403, 19.8530960428), (45.2547734365, 19.8620128358), (45.2525866389, 19.8678103709), (45.2516407374, 19.8727083512), (45.245, 19.8709), (45.2397771125, 19.8663045281), (45.2370775829, 19.8637483134), (45.2325391031, 19.8588026936), (45.227563923, 19.8520544672), (45.2257504705, 19.8481049154), (45.2228156939, 19.8443834126), (45.2215936729, 19.8485735281), (45.2179545299, 19.8522159283), (45.212298367, 19.8520212543), (45.211851059, 19.8492496488)]"
69B,"[(45.211851059, 19.8492496488), (45.2132894169, 19.8521312887), (45.2185076376, 19.8525318999), (45.2216877, 19.8546516), (45.2214886206, 19.8480204015), (45.2232749084, 19.8439718129), (45.2257062238, 19.8481745994), (45.2277113259, 19.8534869134), (45.2331437022, 19.859672004), (45.236946622, 19.8637166365), (45.2402022434, 19.8664982288), (45.244943, 19.8711), (45.251431704, 19.8732154355), (45.2526031657, 19.8689433116), (45.2548163902, 19.8623634945), (45.2542020579, 19.8519122087), (45.2524025428, 19.8471827488), (45.2488034819, 19.8421576964), (45.2485327883, 19.8390130044), (45.2525198464, 19.8368000824), (45.2613766166, 19.8318492939), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
71A,"[(45.2647056244, 19.8294363876), (45.2601777537, 19.8322222835), (45.2545506888, 19.8353175469), (45.2514514442, 19.8370753816), (45.2475207776, 19.8392619075), (45.2434304122, 19.8414842753), (45.241081551, 19.8428482132), (45.22717493, 19.8567651282), (45.2238312414, 19.8554431781), (45.2184505022, 19.8550708728), (45.2214886206, 19.8480204015), (45.2234788568, 19.8425048162), (45.2238692543, 19.8366526852), (45.2203782107, 19.8282294427), (45.2187669648, 19.8220383026), (45.2180266714, 19.8182331378)]"
71B,"[(45.2180266714, 19.8182331378), (45.2183331, 19.820909925), (45.2202518686, 19.8277369153), (45.2236649855, 19.8366471105), (45.2231734727, 19.8429845913), (45.2215936729, 19.8485735281), (45.2184505022, 19.8550708728), (45.2234187828, 19.855319878), (45.2292476482, 19.8592274923), (45.2421433047, 19.8425582061), (45.2444754031, 19.8412524923), (45.2485327883, 19.8390130044), (45.2525198464, 19.8368000824), (45.255629856, 19.8351029309), (45.2613766166, 19.8318492939), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
22A,"[(45.265233079, 19.8295668921), (45.2656954001, 19.8354809218), (45.2610079188, 19.8431916148), (45.264154136, 19.8438347072), (45.270255, 19.842795), (45.2815088733, 19.8511471548), (45.2988852306, 19.8565358761), (45.3092578375, 19.897767251), (45.304999379, 19.9224259118), (45.3099761281, 19.9265458576), (45.3112977889, 19.9299300878), (45.3087821922, 19.9360064729), (45.3053239637, 19.9444031517), (45.3018358605, 19.9518669196), (45.3002233269, 19.9540432593), (45.2959976022, 19.950544978)]"
22B,"[(45.2650202834, 19.830132455), (45.26467, 19.830784), (45.2652106325, 19.8364405487), (45.2608711975, 19.8423966225), (45.2696690854, 19.8421271396), (45.2807541595, 19.8506658724), (45.2983090783, 19.8557151201), (45.3093188521, 19.8969594834), (45.3052508207, 19.9229169589), (45.3106187151, 19.9269933654), (45.3094886413, 19.9344719012), (45.3059252362, 19.9431578742), (45.3024765887, 19.9506250486), (45.3010233903, 19.9535707453), (45.2959976022, 19.950544978)]"
23A,"[(45.265233079, 19.8295668921), (45.2656954001, 19.8354809218), (45.2610079188, 19.8431916148), (45.264154136, 19.8438347072), (45.270255, 19.842795), (45.2815088733, 19.8511471548), (45.2988852306, 19.8565358761), (45.3092578375, 19.897767251), (45.304999379, 19.9224259118), (45.3033451317, 19.9291771531), (45.3011185769, 19.936092651), (45.2988108261, 19.9419456271), (45.2965400217, 19.9477176786), (45.2939648134, 19.9556881487), (45.2814338763, 19.9830359353), (45.280758404, 19.9923347426), (45.2801673872, 20.0002082025), (45.2796792899, 20.0061660796)]"
23B,"[(45.2650202834, 19.830132455), (45.26467, 19.830784), (45.2652106325, 19.8364405487), (45.2608711975, 19.8423966225), (45.2696690854, 19.8421271396), (45.2807541595, 19.8506658724), (45.2983090783, 19.8557151201), (45.3093188521, 19.8969594834), (45.3048958017, 19.9233073502), (45.3032820269, 19.9299340635), (45.300283342, 19.9385582837), (45.2971199977, 19.9465126777), (45.2939174167, 19.9561497848), (45.2815364692, 19.9831579365), (45.2808805972, 19.9918237241), (45.2802629078, 20.0004166877), (45.2796792899, 20.0061660796)]"
24A,"[(45.265233079, 19.8295668921), (45.2656954001, 19.8354809218), (45.2610079188, 19.8431916148), (45.264154136, 19.8438347072), (45.270255, 19.842795), (45.2815088733, 19.8511471548), (45.2988852306, 19.8565358761), (45.3092578375, 19.897767251), (45.304999379, 19.9224259118), (45.3033451317, 19.9291771531), (45.3011185769, 19.936092651), (45.2988108261, 19.9419456271), (45.2965400217, 19.9477176786), (45.2939648134, 19.9556881487), (45.2814338763, 19.9830359353), (45.280758404, 19.9923347426), (45.2801673872, 20.0002082025), (45.278928975, 20.0119600415), (45.2422852886, 20.0245064944), (45.2394858377, 20.0265195887), (45.2346886393, 20.0272709064), (45.2306093153, 20.0231050782), (45.2249602083, 20.0209089527), (45.221263, 20.020179), (45.220472, 20.025768), (45.219384, 20.034056), (45.2244, 20.040177)]"
24B,"[(45.2244, 20.040177), (45.219451, 20.033591), (45.22069, 20.025438), (45.221491, 20.020095), (45.2248524735, 20.0210002715), (45.2308145679, 20.0234782608), (45.2351773498, 20.0276966986), (45.2378216977, 20.0283089757), (45.2429228057, 20.0240126707), (45.2794507099, 20.0112875057), (45.2802629078, 20.0004166877), (45.2808805972, 19.9918237241), (45.2815364692, 19.9831579365), (45.2939174167, 19.9561497848), (45.2971199977, 19.9465126777), (45.300283342, 19.9385582837), (45.3032820269, 19.9299340635), (45.3048958017, 19.9233073502), (45.3093188521, 19.8969594834), (45.2983090783, 19.8557151201), (45.2807541595, 19.8506658724), (45.2696690854, 19.8421271396), (45.2608711975, 19.8423966225), (45.2652106325, 19.8364405487), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
30A,"[(45.264414954, 19.831181344), (45.2656954001, 19.8354809218), (45.2610079188, 19.8431916148), (45.264154136, 19.8438347072), (45.2669400366, 19.8433774932), (45.2710086836, 19.8419173482), (45.2733137159, 19.8410463411), (45.2809013055, 19.8361991299), (45.2835133286, 19.8345314956), (45.2887458333, 19.8316979215), (45.2910920332, 19.8307752397), (45.2941004442, 19.8307538038), (45.2964910099, 19.830743315), (45.3002863203, 19.8305569794), (45.3112542201, 19.8310933898), (45.3200898634, 19.8359886246), (45.319972, 19.847354), (45.3191800291, 19.8511978489), (45.3169974639, 19.8598822821), (45.315338, 19.864725), (45.3192284323, 19.8671359354), (45.3244535802, 19.870027647), (45.3293548104, 19.8723530508)]"
30B,"[(45.329669, 19.871894), (45.3241116664, 19.8697914768), (45.31942, 19.866147), (45.315854, 19.864619), (45.3171331051, 19.8597599864), (45.3192818465, 19.8508486719), (45.319989, 19.847467), (45.3201326356, 19.8358748509), (45.311505332, 19.8310249448), (45.2993083361, 19.8304360891), (45.2933241684, 19.8304941804), (45.2906889242, 19.8305011638), (45.2880777199, 19.8317289762), (45.2828756397, 19.8346922664), (45.2802317297, 19.8363835969), (45.2725760616, 19.8411205686), (45.2696690854, 19.8421271396), (45.2673052212, 19.8430703993), (45.2621466908, 19.8435652321), (45.2608711975, 19.8423966225), (45.2652106325, 19.8364405487), (45.26467, 19.830784)]"
35A,"[(45.264414954, 19.831181344), (45.2665045391, 19.834665763), (45.2737069812, 19.830315176), (45.2848260115, 19.8263159471), (45.2898775272, 19.8245477965), (45.2993746126, 19.8226514651), (45.3143445092, 19.8293912745), (45.3229381495, 19.8279926059), (45.3305535548, 19.8292587703), (45.3373500058, 19.8314241337), (45.3488996083, 19.832723593), (45.3631144396, 19.8350483559), (45.369928, 19.830052), (45.3695507771, 19.8250093489), (45.3695723097, 19.8163211879), (45.3694129257, 19.8098654083), (45.3698479289, 19.7996779816), (45.370855, 19.790881)]"
35B,"[(45.3707860626, 19.7910269816), (45.3697076619, 19.8002213424), (45.369315488, 19.8086458972), (45.3695527063, 19.816598642), (45.3694927418, 19.8257046248), (45.3700226141, 19.8329015408), (45.3699249886, 19.8352436457), (45.3632154432, 19.8350018348), (45.3491011316, 19.8326625706), (45.3372483771, 19.8313188939), (45.3291561132, 19.8289111818), (45.3211837282, 19.8276719451), (45.314143007, 19.8293094486), (45.2997652739, 19.8226695053), (45.2888681125, 19.8247619009), (45.2828585422, 19.8268347377), (45.2713036839, 19.8308548777)]"
35CLA,"[(45.264414954, 19.831181344), (45.2665045391, 19.834665763), (45.2737069812, 19.830315176), (45.2848260115, 19.8263159471), (45.2898775272, 19.8245477965), (45.2993746126, 19.8226514651), (45.3143445092, 19.8293912745), (45.3229381495, 19.8279926059), (45.3305535548, 19.8292587703), (45.3373500058, 19.8314241337), (45.3488996083, 19.832723593), (45.3631144396, 19.8350483559), (45.370872, 19.835443), (45.3903854565, 19.8228903338), (45.3948634793, 19.8199177949), (45.384816968, 19.8297503219), (45.369928, 19.830052), (45.3695507771, 19.8250093489), (45.3695723097, 19.8163211879), (45.3694129257, 19.8098654083), (45.3698479289, 19.7996779816), (45.370855, 19.790881)]"
35CLB,"[(45.3707860626, 19.7910269816), (45.3697076619, 19.8002213424), (45.369315488, 19.8086458972), (45.3695527063, 19.816598642), (45.3694927418, 19.8257046248), (45.3700226141, 19.8329015408), (45.3699249886, 19.8352436457), (45.3900899652, 19.8229843716), (45.3948634793, 19.8199177949), (45.3836546536, 19.8302111809), (45.3632154432, 19.8350018348), (45.3491011316, 19.8326625706), (45.3372483771, 19.8313188939), (45.3291561132, 19.8289111818), (45.3211837282, 19.8276719451), (45.314143007, 19.8293094486), (45.2997652739, 19.8226695053), (45.2888681125, 19.8247619009), (45.2828585422, 19.8268347377), (45.2713036839, 19.8308548777)]"
41A,"[(45.2649620671, 19.8293295677), (45.2633439588, 19.8182127414), (45.2660444179, 19.8148147237), (45.2712216153, 19.8079135339), (45.2759310771, 19.7998638594), (45.278626, 19.794461), (45.2805491923, 19.7849461714), (45.2830754582, 19.7718910191), (45.2902962929, 19.7486571265), (45.2913623157, 19.7437457219), (45.2867913439, 19.7402002932), (45.2872345478, 19.7349006264), (45.2914389856, 19.7359138518), (45.2963585515, 19.7393740621), (45.3003445282, 19.7421633381), (45.30357, 19.744365)]"
41B,"[(45.30357, 19.744365), (45.2998666774, 19.7416538887), (45.2951261357, 19.7383925986), (45.2907294609, 19.7353517518), (45.2868155248, 19.7359478885), (45.2874100612, 19.7408012034), (45.291518222, 19.7447983387), (45.2827262394, 19.7732069555), (45.2801667701, 19.7863577779), (45.2785344884, 19.7937338396), (45.2747023047, 19.8018176756), (45.2702133075, 19.8089150153), (45.2670846403, 19.8130603695), (45.2630741789, 19.8192032513), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
42A,"[(45.2649620671, 19.8293295677), (45.2633439588, 19.8182127414), (45.2660444179, 19.8148147237), (45.2712216153, 19.8079135339), (45.2759310771, 19.7998638594), (45.278626, 19.794461), (45.2805491923, 19.7849461714), (45.2830754582, 19.7718910191), (45.2902962929, 19.7486571265), (45.292387897, 19.7425533426), (45.2963585515, 19.7393740621), (45.3003445282, 19.7421633381), (45.3081735891, 19.7427194154), (45.3398144161, 19.7270478081), (45.3417675086, 19.723498187), (45.348466498, 19.7273239371), (45.355580618, 19.7314018958), (45.3589186851, 19.7331543826), (45.3612543718, 19.7311112386), (45.3647063948, 19.7283248707), (45.3688030497, 19.7264007767)]"
42B,"[(45.3688030497, 19.7264007767), (45.3644564073, 19.7283956395), (45.3611210212, 19.7307323674), (45.359210214, 19.7330422654), (45.3546615353, 19.7308155346), (45.3467969, 19.7262662918), (45.3417537798, 19.7234010713), (45.3402478207, 19.7256711919), (45.3080190296, 19.742680494), (45.2998666774, 19.7416538887), (45.2951261357, 19.7383925986), (45.291518222, 19.7447983387), (45.2827262394, 19.7732069555), (45.2801667701, 19.7863577779), (45.2785344884, 19.7937338396), (45.2747023047, 19.8018176756), (45.2702133075, 19.8089150153), (45.2670846403, 19.8130603695), (45.2630741789, 19.8192032513), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
43A,"[(45.2649620671, 19.8293295677), (45.2633439588, 19.8182127414), (45.2660444179, 19.8148147237), (45.2712216153, 19.8079135339), (45.2759310771, 19.7998638594), (45.278626, 19.794461), (45.2805491923, 19.7849461714), (45.2830754582, 19.7718910191), (45.2902962929, 19.7486571265), (45.292387897, 19.7425533426), (45.2963585515, 19.7393740621), (45.3003445282, 19.7421633381), (45.3081735891, 19.7427194154), (45.3398144161, 19.7270478081), (45.3417675086, 19.723498187), (45.348466498, 19.7273239371), (45.3482981419, 19.7259375151), (45.3546615353, 19.7308155346), (45.3589186851, 19.7331543826), (45.352087, 19.719615), (45.3612543718, 19.7311112386), (45.3644564073, 19.7283956395), (45.3688030497, 19.7264007767), (45.4075210081, 19.7011416706), (45.4144056878, 19.6990296655), (45.4215242675, 19.6947751559)]"
43B,"[(45.4215242675, 19.6947751559), (45.413443117, 19.6992676653), (45.4068335648, 19.701226936), (45.35184, 19.719762), (45.348466498, 19.7273239371), (45.3546615353, 19.7308155346), (45.359210214, 19.7330422654), (45.3644564073, 19.7283956395), (45.3688030497, 19.7264007767), (45.3612543718, 19.7311112386), (45.3589186851, 19.7331543826), (45.3467969, 19.7262662918), (45.3417675086, 19.723498187), (45.3402478207, 19.7256711919), (45.3080190296, 19.742680494), (45.2998666774, 19.7416538887), (45.2951261357, 19.7383925986), (45.291518222, 19.7447983387), (45.2827262394, 19.7732069555), (45.2801667701, 19.7863577779), (45.2785344884, 19.7937338396), (45.2747023047, 19.8018176756), (45.2702133075, 19.8089150153), (45.2670846403, 19.8130603695), (45.2630741789, 19.8192032513), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
51A,"[(45.2650262948, 19.8303881347), (45.2601777537, 19.8322222835), (45.2518040573, 19.8364491963), (45.2492337673, 19.8289089911), (45.2494540403, 19.8235646906), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2475026928, 19.8055379367), (45.2461119679, 19.7998632846), (45.2440016201, 19.792952863), (45.243434196, 19.7871434415), (45.2437879717, 19.7819769289), (45.2453178784, 19.7746201566), (45.2470495425, 19.7673159236), (45.248109015, 19.7628098913), (45.2502026841, 19.7570349816), (45.2531656254, 19.7606394502), (45.2568003751, 19.7646595404), (45.2595710981, 19.758905971), (45.2563655281, 19.7562757223), (45.2537168486, 19.7540706069), (45.2527996498, 19.7495228035), (45.251508, 19.744452), (45.249245, 19.748075), (45.2503360437, 19.7534046769), (45.256777, 19.765075), (45.258778, 19.767468), (45.271724, 19.78288), (45.275676, 19.787356), (45.2782101032, 19.7944074552), (45.2747023047, 19.8018176756), (45.2702133075, 19.8089150153), (45.2670846403, 19.8130603695), (45.2630741789, 19.8192032513)]"
51B,"[(45.2650262948, 19.8303881347), (45.2633439588, 19.8182127414), (45.2660444179, 19.8148147237), (45.2712216153, 19.8079135339), (45.2759310771, 19.7998638594), (45.2785344884, 19.7937338396), (45.2778935404, 19.7896525102), (45.2751092444, 19.7865491723), (45.2719896416, 19.7830517183), (45.270245, 19.78086), (45.258963, 19.76754), (45.2568003751, 19.7646595404), (45.2595710981, 19.758905971), (45.2563655281, 19.7562757223), (45.2537168486, 19.7540706069), (45.2527996498, 19.7495228035), (45.251508, 19.744452), (45.249245, 19.748075), (45.2503360437, 19.7534046769), (45.2492300271, 19.7572312271), (45.2476834381, 19.7636929212), (45.2466526277, 19.7680295823), (45.2448774927, 19.7751981963), (45.2435354955, 19.7826331453), (45.2431816762, 19.7880484583), (45.243705, 19.792701), (45.2445958159, 19.79550631), (45.24628254, 19.8010162498), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2491656314, 19.8252968807), (45.2490835157, 19.8300215701), (45.2528681592, 19.8366307617), (45.2613766166, 19.8318492939), (45.26467, 19.830784)]"
52A,"[(45.2650262948, 19.8303881347), (45.2601777537, 19.8322222835), (45.2518040573, 19.8364491963), (45.2492337673, 19.8289089911), (45.2494540403, 19.8235646906), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2475026928, 19.8055379367), (45.2461119679, 19.7998632846), (45.2440016201, 19.792952863), (45.243434196, 19.7871434415), (45.2437879717, 19.7819769289), (45.2453178784, 19.7746201566), (45.248109015, 19.7628098913), (45.2502026841, 19.7570349816), (45.2531656254, 19.7606394502), (45.2568003751, 19.7646595404), (45.2595710981, 19.758905971), (45.2563655281, 19.7562757223), (45.2537168486, 19.7540706069)]"
52B,"[(45.2537168486, 19.7540706069), (45.2527996498, 19.7495228035), (45.251508, 19.744452), (45.249245, 19.748075), (45.2503360437, 19.7534046769), (45.2492300271, 19.7572312271), (45.2476834381, 19.7636929212), (45.2466526277, 19.7680295823), (45.2448774927, 19.7751981963), (45.2435354955, 19.7826331453), (45.2431816762, 19.7880484583), (45.243705, 19.792701), (45.2445958159, 19.79550631), (45.24628254, 19.8010162498), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2491656314, 19.8252968807), (45.2490835157, 19.8300215701), (45.2528681592, 19.8366307617), (45.2613766166, 19.8318492939), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
53A,"[(45.2648776355, 19.8304717489), (45.2601777537, 19.8322222835), (45.2518040573, 19.8364491963), (45.2492337673, 19.8289089911), (45.2494540403, 19.8235646906), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2475026928, 19.8055379367), (45.2461119679, 19.7998632846), (45.2440016201, 19.792952863), (45.243434196, 19.7871434415), (45.2437879717, 19.7819769289), (45.2453178784, 19.7746201566), (45.2470495425, 19.7673159236), (45.248109015, 19.7628098913), (45.2497997749, 19.7556811934), (45.248640168, 19.747660267), (45.247820743, 19.7434923771), (45.2463691629, 19.7362036012), (45.2413213241, 19.7273130155), (45.2376174322, 19.7257654306), (45.2360771107, 19.7191485592), (45.2367746797, 19.7132550269), (45.2376061823, 19.7063269819), (45.2381967138, 19.7014373151), (45.2388740721, 19.69371563), (45.239197, 19.69027), (45.241629, 19.69056), (45.2454847431, 19.690268057)]"
53B,"[(45.2454847431, 19.690268057), (45.241327, 19.690377), (45.239151, 19.690098), (45.2386780841, 19.6945874305), (45.2380737883, 19.7020530703), (45.2374307204, 19.7073527392), (45.2368987058, 19.7118648922), (45.2360964354, 19.7184695601), (45.2386179355, 19.7263493259), (45.2411290493, 19.7273351926), (45.2463545316, 19.7371847016), (45.2477580225, 19.7442091654), (45.2487018425, 19.7490170677), (45.2492300271, 19.7572312271), (45.2476834381, 19.7636929212), (45.2466526277, 19.7680295823), (45.2448774927, 19.7751981963), (45.2435354955, 19.7826331453), (45.2431816762, 19.7880484583), (45.243705, 19.792701), (45.2445958159, 19.79550631), (45.24628254, 19.8010162498), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2491656314, 19.8252968807), (45.2490835157, 19.8300215701), (45.2528681592, 19.8366307617), (45.2613766166, 19.8318492939), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
54A,"[(45.2648776355, 19.8304717489), (45.2601777537, 19.8322222835), (45.2518040573, 19.8364491963), (45.2492337673, 19.8289089911), (45.2494540403, 19.8235646906), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2475026928, 19.8055379367), (45.2461119679, 19.7998632846), (45.2440016201, 19.792952863), (45.243434196, 19.7871434415), (45.2437879717, 19.7819769289), (45.2453178784, 19.7746201566), (45.2470495425, 19.7673159236), (45.248109015, 19.7628098913), (45.2497997749, 19.7556811934), (45.248640168, 19.747660267), (45.247820743, 19.7434923771), (45.2463691629, 19.7362036012), (45.2443245613, 19.7268575049), (45.242713394, 19.7187351485), (45.2414768934, 19.7096568438), (45.2455411191, 19.7043868376), (45.2458302119, 19.70147404), (45.2502487472, 19.7005280394)]"
54B,"[(45.2502487472, 19.7005280394), (45.2460797997, 19.7015812438), (45.2450297114, 19.704951521), (45.2410451184, 19.710492541), (45.2427078645, 19.7194038535), (45.2444242272, 19.7278720071), (45.2463545316, 19.7371847016), (45.2477580225, 19.7442091654), (45.2487018425, 19.7490170677), (45.2492300271, 19.7572312271), (45.2476834381, 19.7636929212), (45.2466526277, 19.7680295823), (45.2448774927, 19.7751981963), (45.2435354955, 19.7826331453), (45.2431816762, 19.7880484583), (45.243705, 19.792701), (45.2445958159, 19.79550631), (45.24628254, 19.8010162498), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2491656314, 19.8252968807), (45.2490835157, 19.8300215701), (45.2528681592, 19.8366307617), (45.2613766166, 19.8318492939), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
55A,"[(45.2648776355, 19.8304717489), (45.2601777537, 19.8322222835), (45.2518040573, 19.8364491963), (45.2492337673, 19.8289089911), (45.2494540403, 19.8235646906), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2475026928, 19.8055379367), (45.2461119679, 19.7998632846), (45.2440016201, 19.792952863), (45.243434196, 19.7871434415), (45.2437879717, 19.7819769289), (45.2453178784, 19.7746201566), (45.2470495425, 19.7673159236), (45.248109015, 19.7628098913), (45.2497997749, 19.7556811934), (45.248640168, 19.747660267), (45.247820743, 19.7434923771), (45.2453607003, 19.7362210995), (45.2423981968, 19.7357371238), (45.2379829322, 19.7380630427), (45.2370053496, 19.7344478967), (45.2376174322, 19.7257654306), (45.2360771107, 19.7191485592), (45.2367746797, 19.7132550269), (45.2376061823, 19.7063269819), (45.2381967138, 19.7014373151), (45.2388740721, 19.69371563), (45.2395102712, 19.6863734665), (45.243178287, 19.6869322495), (45.2435799386, 19.6891218924), (45.2454847431, 19.690268057)]"
55B,"[(45.2454847431, 19.690268057), (45.2435858041, 19.6895780533), (45.2425193175, 19.6867906144), (45.2397865802, 19.6863608062), (45.2386780841, 19.6945874305), (45.2380737883, 19.7020530703), (45.2374307204, 19.7073527392), (45.2368987058, 19.7118648922), (45.2360964354, 19.7184695601), (45.2378137228, 19.7269561488), (45.2370507228, 19.7338236925), (45.237690628, 19.7382289415), (45.2416922806, 19.736319296), (45.2463545316, 19.7371847016), (45.2477580225, 19.7442091654), (45.2487018425, 19.7490170677), (45.2492300271, 19.7572312271), (45.2476834381, 19.7636929212), (45.2466526277, 19.7680295823), (45.2448774927, 19.7751981963), (45.2435354955, 19.7826331453), (45.2431816762, 19.7880484583), (45.243705, 19.792701), (45.2445958159, 19.79550631), (45.24628254, 19.8010162498), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2491656314, 19.8252968807), (45.2490835157, 19.8300215701), (45.2528681592, 19.8366307617), (45.2613766166, 19.8318492939), (45.2613766166, 19.8318492939), (45.26467, 19.830784), (45.2650202834, 19.830132455)]"
