ID linije,Lista skretanja
1A,"[(45.30263703365396, 19.824762046337128), (45.302335182632184, 19.82469767332077), (45.302342728927314, 19.824139773845673), (45.30091646130248, 19.823394119739532), (45.29973919750302, 19.8227396607399), (45.29870529823723, 19.822353422641754), (45.297233657279136, 19.82220321893692), (45.29658084021481, 19.82224613428116), (45.295180843019764, 19.822648465633392), (45.29299209890505, 19.82341557741165), (45.290610800313104, 19.82423633337021), (45.28883325235971, 19.824853241443634), (45.28679900492734, 19.825566709041595), (45.28545538034739, 19.826022684574127), (45.285221375059855, 19.826097786426544), (45.28371164032451, 19.826768338680267), (45.28243588315367, 19.8272243142128), (45.281748925102036, 19.82744425535202), (45.28075244369408, 19.827809035778046), (45.27950304265546, 19.828302562236786), (45.278072425806904, 19.828796088695526), (45.27695508518711, 19.82920378446579), (45.27618501330445, 19.829273521900177), (45.274456088362115, 19.829868972301483), (45.27276863702557, 19.83043223619461), (45.27021660187992, 19.831344187259674), (45.26868004016919, 19.831875264644623), (45.268366682183164, 19.832079112529755), (45.26798158927685, 19.8324117064476), (45.26751720906209, 19.833033978939056), (45.2660900655998, 19.8349329829216), (45.26564077226913, 19.835592806339264), (45.265493524101366, 19.835887849330902), (45.263998367230776, 19.83789414167404), (45.262676857415535, 19.83969658613205), (45.26100415945526, 19.842003285884857), (45.26056615365354, 19.84268993139267), (45.26036602918849, 19.84292596578598), (45.25996200217551, 19.842775762081146), (45.25932763620482, 19.842491447925568), (45.25874990388639, 19.842287600040436), (45.25712240411792, 19.841590225696564), (45.256518215997, 19.841547310352325), (45.25588003531309, 19.84141319990158), (45.25558926422081, 19.841499030590057), (45.254788691962325, 19.841992557048798), (45.25396167386285, 19.842604100704193), (45.25373886784056, 19.842877686023712), (45.253546272099975, 19.8431995511055), (45.25344053298427, 19.843489229679108), (45.25336878132933, 19.84391838312149), (45.253365004923936, 19.844631850719452), (45.25361424714182, 19.84739452600479), (45.2535651540642, 19.847512543201447), (45.2534896261696, 19.847587645053864), (45.253395216160115, 19.84763592481613), (45.252711683009835, 19.84739989042282), (45.25170713869963, 19.847002923488617), (45.251510759540196, 19.84694927930832), (45.25131060315972, 19.847008287906647), (45.251034914914776, 19.84715312719345), (45.250796991107045, 19.84743744134903), (45.249252350402145, 19.84840840101242), (45.24813444241906, 19.849116504192352), (45.24796071150045, 19.849218428134918), (45.24782097102814, 19.849272072315216), (45.24764346236495, 19.849234521389008), (45.24746217634911, 19.849036037921906), (45.24719779987225, 19.848724901676178), (45.246869215964566, 19.84841912984848), (45.24657462187966, 19.84815627336502), (45.24591366805318, 19.847566187381744), (45.24560396132843, 19.847115576267242), (45.24526403736985, 19.84693855047226), (45.24509785158315, 19.84693855047226), (45.244686161972105, 19.847067296504974), (45.24434245551625, 19.84719604253769), (45.24413471983689, 19.847303330898285), (45.24277119952197, 19.847517907619476), (45.2411999000703, 19.847764670848846), (45.23921305056945, 19.848043620586395), (45.23910350741641, 19.847995340824127), (45.23900907349426, 19.84789341688156), (45.238839092038916, 19.847829043865204), (45.23860489453414, 19.847855865955353), (45.238521791961716, 19.84795778989792), (45.23851423717637, 19.848059713840485)]"
1B,"[(45.238521791961716, 19.848043620586395), (45.238567120652654, 19.848220646381378), (45.238669110075065, 19.848274290561676), (45.23879376356494, 19.848247468471527), (45.23893730360848, 19.8481884598732), (45.23904684708194, 19.848102629184723), (45.23909973006252, 19.848000705242157), (45.239186609138045, 19.848054349422455), (45.23996096024687, 19.84795242547989), (45.24321311966279, 19.847474992275238), (45.24463706117715, 19.847244322299957), (45.24512429026354, 19.847314059734344), (45.245709715034046, 19.847560822963715), (45.24624603436719, 19.848048985004425), (45.246880546475765, 19.848628342151642), (45.2472771129445, 19.849014580249786), (45.2476359087925, 19.849497377872467), (45.25118597713254, 19.84721213579178), (45.25142389931078, 19.847072660923004), (45.2515938431136, 19.847051203250885), (45.2520659065644, 19.847233593463898), (45.25333857007909, 19.847721755504608), (45.253701104021324, 19.84767347574234), (45.25373886784056, 19.847609102725983), (45.25372753869743, 19.847480356693268), (45.25359536519391, 19.84593003988266), (45.25345941498366, 19.84442263841629), (45.25345941498366, 19.84418660402298), (45.25352739012947, 19.84365552663803), (45.25373886784056, 19.84315127134323), (45.25396545022857, 19.842807948589325), (45.25461120507471, 19.842309057712555), (45.25528338652982, 19.841836988925934), (45.25577052429729, 19.841584861278534), (45.25635961555001, 19.841574132442474), (45.25865550262202, 19.842266142368317), (45.2600639531883, 19.842850863933563), (45.2604830832065, 19.84295815229416), (45.26120900152614, 19.841806143522263), (45.261995323902255, 19.840654134750366), (45.263628347583285, 19.83845740556717), (45.265225455943536, 19.836295545101166), (45.265682303734586, 19.83571082353592), (45.26634680304931, 19.834852516651154), (45.2666601721861, 19.834321439266205), (45.26784944895206, 19.83269065618515), (45.26815148352818, 19.832374155521393), (45.26855167686603, 19.832095205783844), (45.269038700801076, 19.8319074511528), (45.26982397090301, 19.831607043743134), (45.27169649422649, 19.83090430498123), (45.27317257289765, 19.83042150735855), (45.274388138271156, 19.830024540424347), (45.27634355836989, 19.829316437244415), (45.276800316677246, 19.829289615154266), (45.280850582791494, 19.827809035778046), (45.281918778141616, 19.82742816209793), (45.28343233499443, 19.82692390680313), (45.284557096726274, 19.82643574476242), (45.28532328070696, 19.826076328754425), (45.287633092939636, 19.825303852558136), (45.28952767262797, 19.824644029140472), (45.291267459988106, 19.824037849903107), (45.293909117497165, 19.823125898838043), (45.296173297427856, 19.822364151477814), (45.2966336696209, 19.82224613428116), (45.29715441399003, 19.82221394777298), (45.298169474412546, 19.822289049625397), (45.29874303211854, 19.822396337985992), (45.29926753046844, 19.822578728199005), (45.29993918314117, 19.822879135608673), (45.30057309521938, 19.82322782278061), (45.30145225916813, 19.8236945271492), (45.30256157104918, 19.824268519878387), (45.30290869819947, 19.82442945241928), (45.3028521015265, 19.824767410755157), (45.30250874716606, 19.82474595308304)]"
1ZA,"[(45.30130013579852, 19.807524472398654), (45.30141616209334, 19.80770552150716), (45.30142653841709, 19.80800995223035), (45.3014142754888, 19.80831438295354), (45.30132371839796, 19.808754265231983), (45.30128975945161, 19.808995664043323), (45.30182932697108, 19.814515650195972), (45.3021123149336, 19.815470516687128), (45.30235002373972, 19.816403925506165), (45.30261414340252, 19.81856042155414), (45.30273488340998, 19.818839371291688), (45.30427429596531, 19.820716917602113), (45.30431403838496, 19.82094374303415), (45.30481207432463, 19.822279483123566), (45.30481207432463, 19.82245114450052), (45.304747933577886, 19.822579890533234), (45.30273689571057, 19.824296504302765), (45.302748215072675, 19.824371606155182), (45.302895366574504, 19.82445743684366), (45.302838769888226, 19.824747115417267), (45.302589743797405, 19.824744433208252), (45.302340716612754, 19.82468810681894), (45.30234448976007, 19.824130207343842), (45.301116317015875, 19.823489159389283), (45.299895664287064, 19.822826653762604), (45.29947871200905, 19.822630852504517), (45.29904666320025, 19.822477966590668), (45.29864857161911, 19.82234653834894), (45.298205196189116, 19.822268754287506), (45.29725051221739, 19.82218828801706), (45.29678448475672, 19.822217792316223), (45.296318453466036, 19.822300940795685), (45.29518260407495, 19.82264426354959), (45.29194096811608, 19.823770791335846), (45.289383127595215, 19.824668571418442), (45.286764784810046, 19.825577080337098), (45.28524955596291, 19.826093583687907), (45.28370207903461, 19.82677486477769), (45.27829689838145, 19.82872751294053), (45.27693797308366, 19.829204946145182), (45.27616035119043, 19.82927468357957), (45.27459186295842, 19.829824536427623), (45.27380382753917, 19.83009946285165), (45.27303843176423, 19.830331473931437), (45.27075445206375, 19.831157594308024), (45.26873465789976, 19.831838875397807), (45.2684401772332, 19.83201053677476), (45.268183449251694, 19.832211702450877), (45.26794182185544, 19.832445054635173), (45.26623907463487, 19.83475175438798), (45.26567462720001, 19.835521548375254), (45.265536818111016, 19.835808544739848), (45.26119370993178, 19.841732785498607), (45.26078918547659, 19.84238284170715), (45.2603846581392, 19.842947067227215), (45.259322728130385, 19.842486486886628), (45.25878942699413, 19.84229412744753), (45.2571619283585, 19.8415860242676), (45.25683340209385, 19.84153774450533), (45.25650487392846, 19.84154310892336), (45.255878021811014, 19.841414362890646), (45.25559669135203, 19.841486782534048), (45.25534320952674, 19.84160412917845), (45.25484049082769, 19.841936052544042), (45.25411826744265, 19.842460424406454), (45.25395257960611, 19.842595875961706), (45.25380199679403, 19.842774242861196), (45.253645749002686, 19.843016982777044), (45.253489500781455, 19.84330263803713), (45.25341066843416, 19.84358024667017), (45.253362047231285, 19.843868584139273), (45.25333986084331, 19.844151557190344), (45.25334033289419, 19.844434530241415), (45.25362356272552, 19.847384960157797), (45.253569749166296, 19.847494930727407), (45.25350082997203, 19.84757271478884), (45.25336393543408, 19.847618312342092), (45.25321948773622, 19.84758880804293), (45.25175421973508, 19.84703090856783), (45.251479477776215, 19.84695714781992), (45.25121228758613, 19.847044319612905), (45.250967755533175, 19.847222686512396), (45.25076854138363, 19.847465426428244), (45.24819285666552, 19.84908548067324), (45.247837841108684, 19.84926787088625), (45.24767921641931, 19.849246413214132), (45.24752059128692, 19.84907475183718), (45.247273210732146, 19.84875959227793), (45.24700316813325, 19.848498076898977), (45.246289343053654, 19.847889215452597), (45.24552263205083, 19.847071141703054), (45.24523936182101, 19.846907526953146), (45.245033517901206, 19.846949101192877), (45.24484278112624, 19.847033590776846), (45.244196915211774, 19.84728840063326), (45.24401939522366, 19.847339362604544), (45.24237636475241, 19.8475834436249), (45.240491542543744, 19.847851664526388), (45.23923370055152, 19.84804478357546), (45.23909960464256, 19.847993821604177), (45.2390183914734, 19.847867757780477), (45.238909792286755, 19.847822160227224), (45.238801192892524, 19.84781947801821), (45.23866992899981, 19.847827524645254), (45.23859154825741, 19.847857028944418), (45.23853111002076, 19.84794554184191), (45.23851411175514, 19.848040760261938), (45.238534887412456, 19.848146707518026)]"
1ZB,"[(45.238522295606344, 19.84807696934695), (45.23854495995614, 19.848189622125574), (45.23865828156949, 19.848256677350946), (45.238809376702385, 19.848227173051782), (45.23897180352211, 19.848168164453455), (45.239058682793235, 19.848087698183008), (45.239104011055865, 19.847980409822412), (45.23916444868318, 19.848042100629755), (45.23923999562682, 19.8480501472568), (45.240584714417395, 19.847873121461816), (45.242552630218384, 19.84757271405215), (45.24473198921947, 19.84726157780642), (45.244924614849836, 19.84727230664248), (45.245278011877176, 19.847357377352637), (45.24562844814957, 19.84750720106831), (45.24600909742525, 19.847828686160938), (45.247176145879436, 19.848890840930835), (45.24741880585602, 19.849193930549518), (45.247631250509755, 19.84951847784032), (45.248143002813386, 19.849185883922473), (45.248255801839974, 19.849074751182343), (45.251009485822735, 19.847324430866138), (45.25147777759966, 19.847072303218738), (45.251585408631726, 19.84705620996465), (45.2516930394598, 19.847093760890857), (45.253342849884255, 19.847739011092926), (45.25351656434062, 19.84771084789827), (45.253660067186374, 19.847650498195435), (45.25372048932876, 19.847540527625824), (45.25347880037358, 19.84439697866037), (45.25350806745024, 19.843844443603302), (45.25357745868462, 19.84355208282068), (45.25367706092042, 19.843291908546234), (45.25383519681278, 19.843007594390656), (45.25403864861168, 19.842755466743256), (45.25427939109809, 19.842562347694184), (45.25552934744538, 19.841706723018433), (45.255767251428104, 19.841607481284882), (45.25682836657919, 19.841599434657837), (45.25710402670114, 19.84162357453897), (45.259014729939366, 19.84242287282541), (45.260132423766315, 19.842902988239075), (45.26038163628191, 19.842996865554596), (45.26050907407745, 19.84292176370218), (45.26069315038823, 19.842661589427735), (45.260898937557315, 19.842267304702546), (45.26119320568153, 19.841779902599228), (45.262775531088195, 19.839606553359772), (45.26448970919797, 19.837273031516816), (45.265637499968875, 19.835754901214386), (45.26599523593413, 19.835308313413407), (45.26639072505022, 19.83477589492395), (45.26662292024035, 19.83439770345285), (45.26734592844841, 19.833391874744848), (45.26770742909906, 19.832915782480995), (45.26805382573481, 19.83248260556138), (45.26820861809851, 19.832318990811473), (45.26837096085567, 19.83221974907792), (45.26871074651893, 19.83203199444688), (45.269216645848815, 19.831828146561747), (45.271289275874054, 19.831071763619548), (45.27328255541361, 19.830401211365825), (45.27601942303905, 19.829451709374553), (45.27638936191553, 19.829336374386912), (45.27676684807892, 19.82930687008775), (45.27931506650514, 19.828412934220978), (45.281878268532736, 19.82744389650179), (45.28371315523965, 19.826809374644654), (45.28524604060728, 19.82611047977116), (45.286792466452106, 19.825587807863485), (45.29011364945557, 19.82443982240511), (45.29266478978595, 19.823560057848226), (45.294430391762475, 19.822944670304423), (45.29567191687357, 19.82252088128007), (45.29618512296104, 19.822354584975983), (45.29673605962082, 19.822252661688253), (45.29743415660401, 19.822241932852194), (45.298132244992885, 19.822284848196432), (45.298622788448924, 19.822367996675894), (45.298841644929475, 19.822440416319296), (45.29935670900284, 19.82261744211428), (45.299841581895315, 19.8228373832535), (45.3013961658555, 19.823674231156474), (45.30267526972157, 19.824339418992167), (45.30274884561492, 19.824323325738078), (45.30289033744905, 19.824167757615214), (45.304742904616774, 19.822622805222636), (45.304810818352415, 19.822503446921473), (45.304841002208796, 19.82237335978425), (45.30481836431798, 19.82223254381097), (45.30476554253766, 19.822091727837687), (45.30433542049434, 19.820933013543254), (45.30427505222711, 19.820680885895854), (45.3035185569281, 19.819774299903656), (45.30291391938706, 19.81902059949789), (45.30279223648157, 19.81884625623934), (45.30268658909597, 19.81862095068209), (45.30262621907295, 19.818395645124838), (45.302384738338056, 19.81635180185549), (45.30189045425145, 19.814517170889303), (45.301834328209665, 19.814208381576464), (45.30179329484981, 19.813824490411207), (45.301726320796405, 19.81313180993311), (45.30157727966112, 19.811660618288442), (45.30143201134213, 19.810237706406042), (45.30132258820671, 19.808793336851522), (45.301405472676976, 19.808428936230484), (45.301411006287665, 19.808260336867534), (45.30142987233118, 19.80796261166688), (45.30141100628769, 19.807693049660884), (45.30126385093315, 19.807444945327006)]"
2A,"[(45.2550983486083, 19.841617047786713), (45.25499261238245, 19.84167069196701), (45.25498505978735, 19.841831624507904), (45.25428266405302, 19.842357337474823), (45.253844606400804, 19.841525852680206), (45.25339899256352, 19.840324223041534), (45.25261349525171, 19.83839303255081), (45.25203569462107, 19.837121665477753), (45.25192995269287, 19.836848080158234), (45.2516844796005, 19.836370646953583), (45.2506648107832, 19.834498465061188), (45.25008321370374, 19.83340412378311), (45.249803742858816, 19.832851588726044), (45.24935809731552, 19.83143538236618), (45.24918437013958, 19.829048216342926), (45.24915415666344, 19.827862679958344), (45.2491919235061, 19.82667177915573), (45.24936942733028, 19.824289977550507), (45.24937320400136, 19.821875989437103), (45.249339213952574, 19.8206689953804), (45.24921458359965, 19.81949955224991), (45.24885202101802, 19.817149937152863), (45.248549883765484, 19.815792739391327), (45.248172209939746, 19.81419950723648), (45.2479304973734, 19.812525808811188), (45.24770766769013, 19.809130132198334), (45.247617024857, 19.807665646076202), (45.24824396815986, 19.80745643377304), (45.248768933433794, 19.80725258588791), (45.24930144720784, 19.80694144964218), (45.25036268317354, 19.80622261762619), (45.251741127331364, 19.805283844470978), (45.25316863149701, 19.804312884807587), (45.2532177249174, 19.804275333881378), (45.25323283057666, 19.80421632528305), (45.25322150133259, 19.804135859012604), (45.250804544259125, 19.79725867509842), (45.24851589322399, 19.798873364925385), (45.2462422574882, 19.800380766391754), (45.244561521409736, 19.79498952627182), (45.24907862290273, 19.792108833789825), (45.248723612882074, 19.7909876704216), (45.24806196957625, 19.78900890727914), (45.247937335998856, 19.788499290571867), (45.2479335592323, 19.78819351874417), (45.2479599965929, 19.787812645064054), (45.248075187806286, 19.787292296515165), (45.2481526112774, 19.786857778654753)]"
2B,"[(45.24795693473547, 19.787377417087555), (45.24789013316302, 19.787970520555973), (45.24786399083014, 19.78819658048451), (45.24785091965923, 19.788309610448778), (45.247860509119015, 19.788422640413046), (45.247869987929626, 19.78852801141329), (45.24789457381771, 19.788654840085655), (45.24792486172884, 19.788828031159937), (45.24803831216331, 19.78916904889047), (45.24897145920748, 19.79208268225193), (45.244464263811345, 19.79488894343376), (45.24614594698866, 19.800522923469543), (45.2502460803694, 19.797825291752815), (45.250539239190616, 19.797638207674026), (45.250779524439054, 19.79765497148037), (45.25098959617113, 19.797800481319427), (45.25294582236336, 19.803331196308136), (45.25302512740942, 19.803658425807953), (45.25304778597371, 19.803921282291412), (45.25299491597635, 19.804119765758514), (45.25284385857, 19.804350435733795), (45.25178644547538, 19.805106818675995), (45.249981244771, 19.806356728076935), (45.24922213696215, 19.806866347789764), (45.248852021017996, 19.807070195674896), (45.24828928909427, 19.807295501232147), (45.24772277481491, 19.80746179819107), (45.2475679265953, 19.807595908641815), (45.24771522125305, 19.80974167585373), (45.247919167071615, 19.812622368335724), (45.248036246747745, 19.813555777072906), (45.24822508442649, 19.814575016498566), (45.24867073885933, 19.81642037630081), (45.248916224977144, 19.817589819431305), (45.24917681677203, 19.819360077381134), (45.24932033058334, 19.820583164691925), (45.24936942733028, 19.822047650814056), (45.24934299062569, 19.824032485485077), (45.249241020364, 19.825566709041595), (45.24916926340349, 19.826623499393463), (45.24915037997777, 19.828779995441437), (45.249305223883425, 19.83119934797287), (45.25021161876603, 19.833607971668243), (45.25072901269318, 19.834562838077545), (45.25168825611764, 19.83641892671585), (45.25237180158545, 19.83789950609207), (45.25312331445586, 19.83964294195175), (45.253689774870665, 19.841059148311615), (45.25414671548806, 19.842040836811066), (45.254350638213445, 19.842486083507538), (45.25491331008383, 19.842115938663483)]"
